run IMDB with vanilla postgres
0: time consumption: 852924.562000 ms
1: time consumption: 858805.163000 ms
2: time consumption: 856987.986000 ms
0: time consumption: 606469.787000 ms
1: time consumption: 603699.589000 ms
2: time consumption: 596574.255000 ms
0: time consumption: 569550.165000 ms
1: time consumption: 601823.396000 ms
2: time consumption: 576592.076000 ms
0: time consumption: 682627.404000 ms
1: time consumption: 677585.556000 ms
2: time consumption: 680789.651000 ms
0: time consumption: 858526.058000 ms
1: time consumption: 868882.890000 ms
2: time consumption: 873642.732000 ms
0: time consumption: 509081.570000 ms
1: time consumption: 505540.768000 ms
2: time consumption: 505440.734000 ms
0: time consumption: 503518.941000 ms
1: time consumption: 501813.282000 ms
2: time consumption: 503199.536000 ms
0: time consumption: 713247.072000 ms
1: time consumption: 697859.648000 ms
2: time consumption: 698127.533000 ms
0: time consumption: 480438.452000 ms
1: time consumption: 479621.113000 ms
2: time consumption: 478541.182000 ms
0: time consumption: 94150.401000 ms
1: time consumption: 73137.017000 ms
2: time consumption: 69180.655000 ms
0: time consumption: 979706.726000 ms
1: time consumption: 949011.305000 ms
2: time consumption: 971275.126000 ms
0: time consumption: 206285.965000 ms
1: time consumption: 256716.732000 ms
2: time consumption: 225612.809000 ms
0: time consumption: 120191.715000 ms
1: time consumption: 141466.750000 ms
2: time consumption: 135146.665000 ms
0: time consumption: 107737.012000 ms
1: time consumption: 103248.239000 ms
2: time consumption: 103459.643000 ms
0: time consumption: 652448.191000 ms
1: time consumption: 656425.946000 ms
2: time consumption: 665718.659000 ms
0: time consumption: 150535.741000 ms
1: time consumption: 150217.661000 ms
2: time consumption: 153906.659000 ms
0: time consumption: 108155.217000 ms
1: time consumption: 106443.173000 ms
2: time consumption: 107640.393000 ms
0: time consumption: 524762.303000 ms
1: time consumption: 517159.103000 ms
2: time consumption: 522484.787000 ms
0: time consumption: 503335.324000 ms
1: time consumption: 498630.542000 ms
2: time consumption: 500261.417000 ms
0: time consumption: 529620.290000 ms
1: time consumption: 523210.621000 ms
2: time consumption: 524385.753000 ms
0: time consumption: 585560.568000 ms
1: time consumption: 582389.473000 ms
2: time consumption: 580589.150000 ms
0: time consumption: 992803.227000 ms
1: time consumption: 990664.358000 ms
2: time consumption: 994023.713000 ms
0: time consumption: 253296.953000 ms
1: time consumption: 280468.174000 ms
2: time consumption: 259906.188000 ms
